Macrolanguage	Standard	Comment
aka	twi	twi is the most spoken aka language
ara	arb	arb is the standard version of ara
aym	ayc	Some linguists reserve 'Aymara' for the Altiplano branch.
aze	azj	azj is the only official aze language.
bal	bcc	Random choice
bik	bcl	Random choice
bnc	lbk	lbk is the most spoken bnc language
bua	bxr	bxr is the only official bua language.
chm	mhr	mhr is the only official chm language.
cre	crj	Random choice
del	umu	Random choice
den	scs	Random choice
din	dib	Random choice
doi	dgo	Dogri proper
est	ekk	Standard Estonian
fas	pes	most widely spoken
ful	ffm	Random choice
gba	nga	most widely spoken
gon	esg	Random choice
grb	gbo	Random choice
grn	gnw	Random choice
hai	hax	Random choice
hbs	bos	Random choice
hmn	cqd	Random choice
iku	ike	Random choice
ipk	esi	Random choice
jrb	ajt	Random choice
kau	kby	Random choice
kln	enb	Random choice
kok	knn	Konkani proper
kom	kpv	Largest group
kon	kng	Random choice
kpe	gkp	Random choice
kur	ckb	Random choice
lah	hnd	Random choice
lav	lvs	Standard Latvian
luy	bxk	Random choice
man	emk	Random choice
mlg	bhr	Random choice
mon	khk	Random choice
msa	zsm	Standard Malay
mwr	dhd	Random choice
nep	npi	npi is official
nor	nob	Bokmål is more official than Nynorsk
oji	ciw	Random choice
ori	ory	Oriya is a the romanized for of Odia
orm	gax	Random choice
pus	pst	Central Pashto is the standardized variety of Pashto 
que	qux	Random choice
raj	bgq	"Random choice, could not find the code for Rajasthani Standard"
rom	rmc	Random choice
sqi	als	Standard Albanian is based on the Tosk dialect
srd	sro	"There's no standard, random choice."
swa	swh	Swahili proper
syr	aii	Random choice
tmh	taq	Tamasheq is the Tuareg proper
uzb	uzn	Uzbek usually refers to Northern Uzbek
yid	ydd	Eastern Yiddish is far more common 
zap	zaa	Random choice
zha	zyb	"The Wuming dialect of Yongbei Zhuang is considered to be the ""standard"" of Zhuang"
zho	cmn	Standard Chinese is in fact Mandarin.
zza	diq	Random choice
